NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project,,,,,,,,,,,,,,,,
324.   ,Pavement Works Along Salvation Army (Link Road),Laterbiokorshie,Messrs Unicom Universal Company Limited,Metro Roads Department,"Wednesday, April 14, 2004",3 Months,"48,865.85",IGF,Completed,,,,,,,,,,,,,,,,
325.   ,Gravelling Works On Prempeh Street-Awoshie (0+300-0+470),Awoshie,Messrs Unicom Universal Company Limited,Metro Roads Department,"Friday, December 13, 2019",3 Months,"49,300.50",IGF,Completed,,,,,,,,,,,,,,,,
326.   ,Gravelling Works On Awoshie-Prempeh Road (Chainage 0+760-835) Ablekuma North,Awoshie,Messrs Logistics Support Services/SIIC-FSL Corporate Finance Account,Metro Roads Department,"Sunday, April 14, 2002",3 Months,"48,993.90",IGF,Completed,,,,,,,,,,,,,,,,
327.   ,Paving Works At Castle,Castle,Messrs Tecbuildtel Company Limited,Metro Roads Department,"Monday, November 14, 2005",3 Months,"48,401.33",IGF,Completed,,,,,,,,,,,,,,,,
328.   ,Gravelling Works On Awoshie-Prempeh Road (Chainage 0+835-+909),Awoshie,Messrs Logistics Support Services/SIIC-FSL Corporate Finance Account,Metro Roads Department,"Sunday, April 14, 2002",3 Month,"48,276.74",IGF,Completed,,,,,,,,,,,,,,,,
329.   ,Surfacing Works  On Djaine Ashie Link Road (0+120-0+240),East Legon,Messrs Logistics Support Services/SIIC-FSL Corporate Finance Account,Metro Roads Department,"Sunday, April 14, 2002",3 Months,"48,894.32",IGF,Completed,,,,,,,,,,,,,,,,
330.   ,Road-line Marking And Signs On Some Selected Roads Phase I,Selected Roads In Accra,Messrs Logistics Support Services/SIIC-FSL Corporate Finance Account,Metro Roads Department,"Sunday, April 14, 2002",3 Months,"48,915.30",IGF,Completed,,,,,,,,,,,,,,,,
331.   ,Road-line Marking And Signs On Some Selected Roads Phase II,Selected Roads In Accra,Messrs Kamus Junior Company Limited,Metro Roads Department,"Wednesday, May 14, 2014",3 Months,"48,915.30",IGF,Completed,,,,,,,,,,,,,,,,
332.   ,Road Surfacing Works on Djaine Ashie link Road (0+000-0+120),East Legon,Messrs Mustek Engineering Company Limited,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"48,894.32",IGF,Completed,,,,,,,,,,,,,,,,
333.   ,Gravelling Works Along Good Shepherd-Oshippi Road- Okaikoi South (0.45M),North Kaneshie,Messrs Unicom Universal Company Limited,Metro Roads Department,"Friday, December 13, 2019",3 Months,"48,685.00",IGF,Completed,,,,,,,,,,,,,,,,
334.   ,"Construction Of Concrete Speed-Humps On Winneba Road And Korle-Gonno Area Roads  Relocated To (Nii Darko Street, 4th Darko Lane, Aluguntugui Road And Good Shepherd Road)",Kantesean,Messrs Builcon Enterprise Limited,Metro Roads Department,"Thursday, October 13, 2022",3 Months,"49,737.04",IGF,Completed,,,,,,,,,,,,,,,,
335.   ,"Gravelling Works On Okine Extension (175M), Bill Extension (165M) & Bill Lane (65M), East Legon - Ayawaso West",East Legon,Messrs Munisco Company Limited/Syndicated Capital Finance,Metro Roads Department,"Monday, February 14, 2028",3 Months,"46,011.20",IGF,Completed,,,,,,,,,,,,,,,,
336.   ,Road Surfacing Works  Along Robertson Link-Okaikoi South (Chainage 0+000-0+160),North Kaneshie,Messrs Munisco Company Limited/Syndicated Capital Finance,Metro Roads Department,"Monday, February 14, 2028",3 Months,"49,771.20",IGF,Completed,,,,,,,,,,,,,,,,
337.   ,Gravelling Works Along 2nd Korley Kojo Link (Chainage 0+000-0+100) Ablekuma North,"Odorkor, 2nd Korley Kojo Link",Messrs Munisco Company Limited/Syndicated Capital Finance,Metro Roads Department,"Monday, February 14, 2028",3 Months,"49,307.50",IGF,Completed,,,,,,,,,,,,,,,,
338.   ,Gravelling Works Along 2nd Korley Kojo Link (Chainage 0+100-0+320) Ablekuma North,"Odorkor, 2nd Korley Kojo Link",Messrs Colt Enterprise,Metro Roads Department,"Friday, September 11, 2026",3 Months,"23,919.50",IGF,Completed,,,,,,,,,,,,,,,,
339.   ,Pavement Works At Akweteman,Akweteman,Messrs Colt Enterprise,Metro Roads Department,"Friday, September 11, 2026",3 Months,"25,917.40",IGF,Completed,,,,,,,,,,,,,,,,
340.   ,Pavement Works Behind Stadium (Phase II),Behind Stadium,Messrs Ramas Co. Limited,Metro Roads Department,"Sunday, March 14, 2010",3 Months,"49,582.50",IGF,Completed,,,,,,,,,,,,,,,,
341.   ,Pavement Works Behind Stadium (Phase I),Behind Stadium,Messrs Ramas Co. Limited,Metro Roads Department,"Sunday, March 14, 2010",3 Months,"48,381.85",IGF,Completed,,,,,,,,,,,,,,,,
342.   ,Construction Of Walkway Around Nationalism Park,Nationalism Park,Messrs Ramas Co. Limited,Metro Roads Department,"Sunday, March 14, 2010",3 Months,"34,590.81",IGF,Completed,,,,,,,,,,,,,,,,
343.   ,Pavement Works At Transformer Area,Behind Stadium,Messrs Quarkor Limited,Metro Roads Department,-,3 Month,"27,890.94",IGF,Completed,,,,,,,,,,,,,,,,
344.   ,Pavement Works Around Merton (Stadium),Stadium,Messrs Quarkor Limited,Metro Roads Department,-,3 Month,"41,499.37",IGF,Completed,,,,,,,,,,,,,,,,
345.   ,Gravelling Works on 8TH Western Lane (Chainage 0+000-0+375),Opetekwei,Messrs Quarkor Limited,Metro Roads Department,-,3 Month,"47,540.00",IGF,Completed,,,,,,,,,,,,,,,,
346.   ,"Routine maintenance along Abossey Okai road: 800M X 0.9M X 0.7M,800M X0.6M X 0.6M(RHS)",Accra,Messrs Quarkor Limited,Metro Roads Department,-,3 Month,"6,817.00",IGF,Completed,,,,,,,,,,,,,,,,
347.   ,Construction of concrete speed hump on Nii Ghana Airways and 5th Avenue,West Legon,Messrs Phylido Enterprise,Metro Roads Department,"Wednesday, September 14, 2016",3 Months,"48,377.68",IGF,Completed,,,,,,,,,,,,,,,,
348.   ,Construction of concrete speed hump at Ato Ahwoi sober Avenue & Saint Margaret,West Legon,Messrs Phylido Enterprise,Metro Roads Department,"Monday, September 13, 2010",3 Months,"49,168.08",IGF,Completed,,,,,,,,,,,,,,,,
349.   ,Construction Of Concrete Speed Hump On Nii Owu 4th Avenue & Portuphy Avenue,West Legon,Messrs Phylido Enterprise,Metro Roads Department,"Wednesday, September 14, 2016",3 Months,"49,168.08",IGF,Completed,,,,,,,,,,,,,,,,
350.   ,Surfacing Road Works On Kowulu Street- Ablekuma Central (CH 0+00-0+2000,Ablekuma Central,Messrs Phylido Enterprise,Metro Roads Department,"Wednesday, September 14, 2016",3 Months,"49,808.00",IGF,Completed,,,,,,,,,,,,,,,,
351.   ,Gravelling Works Along Tackie Yarboi Street And Links (420M),Ablekuma North,Messrs Phylido Enterprise,Metro Roads Department,"Wednesday, September 14, 2016",3 Months,"49,185.35",IGF,Completed,,,,,,,,,,,,,,,,
352.   ,Gravelling of West Loop Road-Tesano (CH 0+000-0+450),Tesano,Messrs Boatway Company Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Month,"49,876.25",IGF,Completed,,,,,,,,,,,,,,,,
353.   ,Gravelling of Ahene Nukpa Street-Okaikoi North,Okaikoi North,Messrs Boatway Company Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Month,"45,151.25",IGF,Completed,,,,,,,,,,,,,,,,
354.   ,Gravelling of Bobo Link (300M) And West Loop (150M) Tesano,Tesano,Messrs Boatway Company Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Month,"49,871.00",IGF,Completed,,,,,,,,,,,,,,,,
355.   ,Gravelling of Akwei Street (290M) Okaikoi North,Okaikoi North,Messrs Phylido Enterprise,Metro Roads Department,"Wednesday, September 14, 2016",3 Months,"41,681.00",IGF,Completed,,,,,,,,,,,,,,,,
356.   ,Gravelling of Ninth Extension –Tesano (CH 0+000-0+350),Tesano,Messrs Boatway Company Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Month,"47,393.00",IGF,Completed,,,,,,,,,,,,,,,,
357.   ,Gravelling Works At Dzagbele Street (400M) Fadama Area,Nii Boi Town,Messrs Phylido Enterprise,Metro Roads Department,"Monday, November 14, 2005",3 Months,"49,871.00",IGF,Completed,,,,,,,,,,,,,,,,
358.   ,Gravelling of Bethlehem Avenue –(Chainage 0+000-0+270) Ablekuma central,Ayigbe Town,Messrs Phylido Enterprise,Metro Roads Department,"Wednesday, September 14, 2016",3 Months,"35,729.60",IGF,Completed,,,,,,,,,,,,,,,,
359.   ,Gravelling Of Workers lane –(Chainage 0+000-+270),Ayigbe town,Messrs Boatway Company Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Months,"35,729.60",IGF,Completed,,,,,,,,,,,,,,,,
360.   ,Road Surfacing Works  Great Garden Street –Ablekuma north (Chainage 0+160-0+320),Ablekuma North,Messrs Boatway Company Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Months,"49,959.00",IGF,Completed,,,,,,,,,,,,,,,,
361.   ,Road Surfacing Works On Kowulu Street –Ablekuma Central (CH 0+200-0+400),Ablekuma Central,Messrs Boatway Company Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Months,"49,958.00",IGF,Completed,,,,,,,,,,,,,,,,
362.   ,Road Surfacing Works On Korley Kojo Street – (CH 0+000+0+160) Ablekuma North. Relocation Of Site to(Chainage 0+145.7-0+300) On Korley Kojo Street,Ablekuma North,Messrs Takoro Ent/Syndicated Capital Finance,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"49,889.70",IGF,Completed,,,,,,,,,,,,,,,,
363.   ,Road Surfacing Works  Great Garden Street –Ablekuma North (Chainage 0+000-0+160),Ablekuma North,Messrs Kamags Construction,Metro Roads Department,"Friday, February 14, 2020",3 Months,"49,990.50",IGF,Completed,,,,,,,,,,,,,,,,
364.   ,Gravelling Works Along Prempeh Street –Awoshie (0+000 -0+300),Awoshie,Messrs Phylido Enterprise,Metro Roads Department,"Tuesday, September 14, 2010",3 Months,"48,685.00",IGF,Completed,,,,,,,,,,,,,,,,
365.   ,Gravelling works on Ntow Street chainage (0+000-0+175) Relocated to Charles Oku Street,Bubuashie,Messrs Reggio Company Limited,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"32,940.63",IGF,Completed,,,,,,,,,,,,,,,,
366.   ,Gravelling Works On Ntow Street chainage (90+175 -0+350) Relocated To Charles Oku Street,Bubuashie,Messrs Reggio Company Limited,Metro Roads Department,"Thursday, October 14, 2021",3 Months,"32,940.63",IGF,Completed,,,,,,,,,,,,,,,,
367.   ,Gravelling Works Along Oka Street (0.45KM) – Ablekuma North,Darkuman,Messrs Logistics Support Services/SIC-FSL Corporate Finance Account,Metro Roads Department,"Thursday, February 14, 2002",3 Months,"48,918.13",IGF,Completed,,,,,,,,,,,,,,,,
368.   ,Gravelling Of Trinity Road – (Chainage 0+400-0+800),Kwashieman,Messrs Logistics Support Services/SIC-FSL Corporate Finance Account,Metro Roads Department,"Sunday, April 14, 2002",3 Months,"49,409.00",IGF,Completed,,,,,,,,,,,,,,,,
369.   ,"Gravelling works on candle walk A, Korle Bu Street A, and 6th Adotey Obour Link D-Ablekuma Central (0.60KM) Relocation of Site to 7th and 2nd Adotey Obour Link",Banana Inn,Messrs Ramas Co. Limited,Metro Roads Department,"Friday, March 14, 2014",6 Months,"48,385.00",Road Fund,Completed,,,,,,,,,,,,,,,,
370.   ,Gravelling of 11th Adote Obour Street-Ablekuma Central (Chainage 0+305-0+432),Zamrama Line,Messrs Mustek Engineering Company LTD.,Metro Roads Department,"Wednesday, October 13, 2021",12 Months,"31,046.20",Road Fund,Completed,,,,,,,,,,,,,,,,
371.   ,Gravelling of  Adotey Obour Loop-(Chainage 0+000-0+240)Ablekuma Central,Zamrama Line,Messrs Alfashie Ent./SDC Finance & Leasing Co.,Metro Roads Department,"Friday, February 14, 2020",3 Months,"38,919.60",Road Fund,Completed,,,,,,,,,,,,,,,,
372.   ,Gravelling Works on Kum Hotel Road 40M- Okaikoi North,Abeka-Lapaz,Messrs Alfashie Ent./SDC Finance & Leasing Co.,Metro Roads Department,"Friday, February 14, 2020",3 Months,"42,035.00",Road Fund,Completed,,,,,,,,,,,,,,,,
373.   ,Gravelling Works on Kum Hotel Road 250M- Okaikoi North,Abeka-Lapaz,Messrs Alfashie Ent./SDC Finance & Leasing Co.,Metro Roads Department,"Friday, February 14, 2020",6 Months,"49,931.25",Road Fund,Completed,,,,,,,,,,,,,,,,
374.   ,Surfacing of Kay Billie Klaer Street (Chainage 0+825-0+950) Ayawaso West Wougon,Ayawaso West,Messrs Facol Limited,Metro Roads Department,"Wednesday, February 14, 2024",3 Months,"49,641.25",Road Fund,Completed,,,,,,,,,,,,,,,,
375.   ,Surfacing of Kay Billie Klaer Street (Chainage 0+125-0+250) Ayawaso West Wougon,Ayawaso West,Messrs Alfdam Co.Ltd./ Syndicated Capital Finance Ltd,Metro Roads Department,"Wednesday, October 13, 2021",6 Months,"49,781.43",Road Fund,Completed,,,,,,,,,,,,,,,,
376.   ,Gravelling of 1ST Nii Amoah Street & Nii Amoah Loop (450M),Ayawaso West,M/S Dantoz Ent,Metro Roads Department,-,-,"49,976.00",Road Fund,Completed,,,,,,,,,,,,,,,,
377.   ,Surfacing of Kay Billie Klaer Street (Chainage 0+700-0+825) Ayawaso West Wougon,Ayawaso West,M/S Green Grass Technology Ghana Ltd.,Metro Roads Department,-,-,"49,641.25",Road Fund,Completed,,,,,,,,,,,,,,,,
378.   ,Surfacing of Kay Billie Klaer Street (Chainage 0+950-0+035) Ayawaso West Wougon,Ayawaso West,Messrs Joslise Enterprise Ltd,Metro Roads Department,-,-,"38,601.98",Road Fund,Completed,,,,,,,,,,,,,,,,
379.   ,Surfacing of Kay Billie Klaer Street (Chainage 0+250-0+350) Ayawaso West Wougon,Ayawaso West,Messrs Nakia Company,Metro Roads Department,"Sunday, November 13, 2005",3 Months,"49,042.80",Road Fund,Completed,,,,,,,,,,,,,,,,
380.   ,Surfacing of Kay Billie Klaer Street (Chainage 0+000-0+125) Ayawaso West Wougon,Ayawaso West,Messrs Logistics Support Services/SIC-FSL Corporate Finance Account,Metro Roads Department,"Sunday, April 14, 2002",3 Month,"49,781.43",Road Fund,Completed,,,,,,,,,,,,,,,,
381.   ,"Gravelling of Ayigbe Town Road 1, Sabon Zongo Ablekuma (CH. 0+000-0+275)",Ablekuma Central,Messrs Tecbuildtel Company Ltd.,Metro Roads Department,"Sunday, November 13, 2005",3 Months,"46,357.49",Road Fund,Completed,,,,,,,,,,,,,,,,
382.   ,Gravelling Works Along 4th Street- Ablekuma North (0+000-0+450),Darkuman,Messrs Munisco Company Ltd./Syndicated Capital Finance,Metro Roads Department,"Monday, February 14, 2028",3Months,"49,611.00",Road Fund,Completed,,,,,,,,,,,,,,,,
383.   ,Gravelling Works on Kum Hotel Road 250M- Okaikoi North,Abeka-Lapaz,Messrs Productive Trade Ghana Limited,Metro Roads Department,"Wednesday, May 14, 2014",6 Months,"49,931.25",Road Fund,Completed,,,,,,,,,,,,,,,,
384.   ,Surfacing Works Along Mohammed Issaka Street (CH. 0+000-0+150),Ayawaso Central,Messrs Productive Trade Ghana Limited,Metro Roads Department,"Wednesday, May 14, 2014",6 Months,"43,237.45",Road Fund,Completed,,,,,,,,,,,,,,,,
385.   ,Surfacing Works Along 6th Alajo Link (CH. 0+170-0+340),Alajo,Messrs Zatomwando Enterprise,Metro Roads Department,-,-,"48,599.20",Road Fund,Completed,,,,,,,,,,,,,,,,
386.   ,Surfacing Works Along 6th Alajo Link (CH. 0+170-0+340),Alajo,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, July 14, 1930",3Months,"48,599.20",Road Fund,Completed,,,,,,,,,,,,,,,,
387.   ,Surfacing Works Along 6th Alajo Link (CH. 0+000-0+170),Alajo,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, July 14, 1930",3 Months,"48,599.20",Road Fund,Completed,,,,,,,,,,,,,,,,
388.   ,Gravelling Works on 7th Paradise Link-Newtown Link Road (CH. 0+000-0+400),Alajo,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, December 13, 2010",3 Months,"47,701.00",Road Fund,Completed,,,,,,,,,,,,,,,,
389.   ,Gravelling Works on 7th Paradise Link-Newtown Link Road (CH. 0+000-0+400),Alajo,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, July 14, 1930",3 Months,"47,701.00",Road Fund,Completed,,,,,,,,,,,,,,,,
390.   ,Surfacing Works Along Ablashie Road (Chainage 0+360-0+520),East Legon,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, December 13, 2010",3 Months,"49,220.90",Road Fund,Completed,,,,,,,,,,,,,,,,
391.   ,Surfacing Works Along Ablashie Road (Chainage 0+520-0+680),East Legon,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, December 13, 2010",3 Months,"49,220.90",Road Fund,Completed,,,,,,,,,,,,,,,,
392.   ,Surfacing Works Along Ablashie Link 1 Road,East Legon,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, July 14, 1930",3 Months,"49,069.40",Road Fund,Completed,,,,,,,,,,,,,,,,
393.   ,Surfacing Works on Sunflower Street (CH. 0+200-0+400),Ablekuma North,Messrs Mustek Engineering Limited,Metro Roads Department,"Monday, July 14, 1930",3 Months,"48,487.10",Road Fund,Completed,,,,,,,,,,,,,,,,
394.   ,Surfacing Works on Sunflower Street (CH. 0+600-0+725),Ablekuma North,Messrs Dantoz Ent.,Metro Roads Department,-,-,"33,224.00",Road Fund,Completed,,,,,,,,,,,,,,,,
395.   ,Surfacing Works on Sunflower Street (CH. 0+400-0+600),Ablekuma North,Messrs Dantoz Ent.,Metro Roads Department,-,-,"48,487.10",Road Fund,Completed,,,,,,,,,,,,,,,,
396.   ,Surfacing Works on Sunflower Street (CH. 0+000-0+200),Ablekuma North,M/S Dantoz Ent,Metro Roads Department,-,-,"48,487.10",Road Fund,Completed,,,,,,,,,,,,,,,,
397.   ,"Surfacing Works on Agblashie Lane, Mempeasem (CH. 0+000-0+105)",Ayawaso West,Messrs Selsen Services,Metro Roads Department,-,1 Month,"44,366.94",Road Fund,Completed,,,,,,,,,,,,,,,,
398.   ,"Surfacing Works on Ablalashie Lane, Mempeasem (CH. 0+000-0+205)",Ayawaso West,Messrs Dantoz Ent.,Metro Roads Department,-,-,"31,897.00",Road Fund,Completed,,,,,,,,,,,,,,,,
399.   ,"Surfacing Works on Ablashie Lane, Mempeasem (CH. 0+250-0+390)",Ayawaso West,Messrs Hawai Agency Limited,Metro Roads Department,"Monday, November 14, 2005",4 Months,"49,956.92",Road Fund,Completed,,,,,,,,,,,,,,,,
400.   ,"Surfacing Works on Ablalashie Lane, Mempeasem (CH. 0+000-0+120)",Ayawaso West,Messrs Cobarma Construction works,Metro Roads Department,"Thursday, April 14, 2016",4 Months,"49,927.60",Road Fund,Completed,,,,,,,,,,,,,,,,
401.   ,"Surfacing Works on Ablalashie Lane, Mempeasem (CH. 0+000-0+205)",Ayawaso West,Messrs Hawai Agency Ltd,Metro Roads Department,"Wednesday, October 13, 2021",6 Months,"31,897.00",Road Fund,Completed,,,,,,,,,,,,,,,,
402.   ,Surfacing Works on 11th Street Link (Ch. 0+135-0+270),Baatsona,Messrs Mustek Engineering Company Ltd.,Metro Roads Department,"Wednesday, October 13, 2021",6 Months,"47,028.09",Road Fund,Completed,,,,,,,,,,,,,,,,
403.   ,Surfacing Works on 11th Street Link (Ch. 0+120-0+235),Baatsona,Messrs Logistics support services/Unsecurities asset management,Metro Roads Department,"Friday, November 13, 2026",5 Months,"40,356.71",Road Fund,Completed,,,,,,,,,,,,,,,,
404.   ,Surfacing Works on 10th Street Link (Ch. 0+100-0+100),Baatsona,Messrs Zaprozhe company Ltd,Metro Roads Department,"Monday, April 14, 2014",4 Months,"42,703.17",Road Fund,Completed,,,,,,,,,,,,,,,,
405.   ,"Surfacing Works on Ablalashie Crescent, Mempeasem (CH. 0+000-0+100)",Ayawaso West,Messrs Mbanba Construction,Metro Roads Department,"Friday, February 14, 2020",3 Months,"46,519.49",Road Fund,Completed,,,,,,,,,,,,,,,,
406.   ,Surfacing Works on 11th Street Link (Ch. 0+000-0+135),Baatsona,Messrs Cobarma Construction Ltd,Metro Roads Department,"Thursday, April 14, 2016",4 Months,"47,028.09",Road Fund,Completed,,,,,,,,,,,,,,,,
407.   ,"Surfacing Works on Ablashie Link, Mempeasem (CH. 0+120-0+250)",Ayawaso West,Messrs Continental Longro Limited,Metro Roads Department,"Monday, February 14, 2028",4 Months,"49,822.56",Road Fund,Completed,,,,,,,,,,,,,,,,
408.   ,"Gravelling Works on Agblaashie Link Road, Mempeasem (385M)",Ayawaso West,Messrs Dantoz Ent.,Metro Roads Department,-,-,"48,419.50",Road Fund,Completed,,,,,,,,,,,,,,,,
409.   ,"Surfacing Works on Ablashie Crescent , Mempeasem (CH. 0+100-0+190)",Ayawaso West,Messrs Henkoq Ventures,Metro Roads Department,-,-,"34,595.06",Road Fund,Completed,,,,,,,,,,,,,,,,
410.   ,Gravelling Works on 10th Street Link (Ch. 0+100-0+125),Baatsona,Messrs Henkoq Ventures,Metro Roads Department,-,-,"31,947.50",Road Fund,Completed,,,,,,,,,,,,,,,,
411.   ,Surfacing Works on 10th Street Link (Ch. 0+100-0+200),Baatsona,Messrs Henkoq Ventures,Metro Roads Department,-,-,"42,703.17",Road Fund,Completed,,,,,,,,,,,,,,,,
412.   ,Surfacing Works on 11th Street Link (Ch. 0+000-0+120),Baatsona,Messrs Zaprozhe company Ltd,Metro Roads Department,"Sunday, April 14, 2024",5 Months,"42,024.55",Road Fund,Completed,,,,,,,,,,,,,,,,
